,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8949.0,2984.0,2991.0,2974.0,2238.0,2236.0,2240.0,2235.0,1793.0,1793.0,1798.0,1782.0,1783.0,1501.0,1493.0,1480.0,1490.0,1502.0,1483.0,1270.0,1294.0,1279.0,1269.0,1288.0,1265.0,1284.0,1116.0,1125.0,1122.0,1111.0,1123.0,1119.0,1110.0,1123.0
Seg_Pct,1.0,0.33344507766230863,0.3342272879651358,0.3323276343725556,0.2500838082467315,0.24986031958878088,0.25030729690468206,0.24974857525980557,0.20035758185272098,0.20035758185272098,0.2009163034975975,0.19912839423399262,0.19924013856296793,0.16772823779193205,0.16683428316012963,0.16538160688345066,0.1664990501732037,0.16783998212090737,0.16571683987037658,0.1419152977986367,0.14459716169404402,0.14292099675941447,0.14180355346966142,0.1439266957201922,0.14135657615376018,0.143479718404291,0.12470667113643982,0.12571237009721756,0.12537713711029166,0.1241479494915633,0.12548888143926695,0.12504190412336574,0.124036205162588,0.12548888143926695
Installment_Purchases,0.25254218348418817,0.21548257372654156,0.35473085924439984,0.18695359784801613,0.38561215370866847,0.19186046511627908,0.18348214285714284,0.24921700223713647,0.19074177356385946,0.29001673173452314,0.20634037819799778,0.3900112233445567,0.1862030286034773,0.2418387741505663,0.19223040857334225,0.40878378378378377,0.30335570469798656,0.18908122503328895,0.18138907619689817,0.19606299212598424,0.42040185471406494,0.18295543393275998,0.2576832151300236,0.18400621118012422,0.2015810276679842,0.32242990654205606,0.1881720430107527,0.432,0.18181818181818182,0.27542754275427545,0.19679430097951914,0.3386952636282395,0.22252252252252253,0.18432769367764915
None_Of_the_Purchases,0.22807017543859648,0.246313672922252,0.22567703109327983,0.21217215870880968,0.22028596961572833,0.23792486583184258,0.203125,0.25100671140939596,0.2381483547127719,0.24428332403792527,0.24026696329254726,0.22278338945005613,0.1946158160403814,0.2558294470353098,0.2290689886135298,0.22297297297297297,0.22751677852348992,0.23768308921438083,0.19487525286581253,0.23622047244094488,0.2187017001545595,0.21188428459734168,0.2568951930654058,0.19953416149068323,0.2482213438735178,0.22585669781931464,0.246415770609319,0.22133333333333333,0.20231729055258468,0.24932493249324933,0.22974176313446126,0.21805183199285075,0.25405405405405407,0.20391807658058772
One_Of_Purchase,0.20940887249972065,0.22319034852546918,0.18187897024406552,0.22326832548755884,0.1805183199285076,0.23300536672629696,0.22455357142857144,0.19955257270693513,0.22197434467373117,0.18349135527049637,0.22691879866518352,0.1840628507295174,0.23051037577117217,0.20652898067954698,0.20361687876758205,0.17972972972972973,0.18389261744966443,0.23901464713715045,0.24342548887390425,0.23228346456692914,0.17697063369397217,0.20641125879593433,0.18912529550827423,0.2422360248447205,0.23557312252964427,0.1838006230529595,0.22939068100358423,0.17333333333333334,0.23440285204991088,0.19081908190819083,0.2350845948352627,0.1867739052725648,0.2099099099099099,0.21549421193232413
BALANCE,1564.647592719525,1645.514040806303,973.1863051190235,2078.351436069271,825.4698806219826,1821.0432693913258,2122.5200439263385,1489.1866065597321,1932.2924615053,1319.291896345229,1632.0918771379306,787.2052967861953,2150.6671450667395,1522.1423727581616,1979.3620127314095,740.9879706972985,1199.1352615006692,1763.685579396805,2177.8008389797706,1859.4976240141734,705.4602260479131,1974.157263681,1472.3104931237199,2225.9700574130447,1626.876419214227,1097.5440280116825,1727.750602964156,673.5556815599996,2340.170187254902,1428.404790388839,1922.5086159510245,979.6731824486153,1539.5004177684668,1905.0809347871786
BALANCE_FREQUENCY,0.877350131523082,0.8890498284182295,0.8436056088264793,0.8995485080699384,0.8303437582663094,0.9011066990160984,0.8993399035714277,0.8786134375838919,0.9082916648075834,0.8703854394868936,0.8839261012235805,0.8279409584736257,0.8959889854178344,0.8773936089273803,0.9037394782317458,0.8210018486486493,0.86440256442953,0.901557057256989,0.8954647484828046,0.9070091188976365,0.812076949768159,0.9042614683346345,0.8816650244286828,0.8953649572981359,0.8802608379446628,0.861786459501556,0.8995790161290309,0.8042597493333313,0.9042713672014251,0.8824336084608457,0.903212852181655,0.8565836577301149,0.8742416243243231,0.8944562466607291
PURCHASES,1003.3169359705028,998.735214477212,681.2215847542619,1331.8505783456628,624.230339588919,1046.6980858676193,1451.1723928571434,890.6544429530193,981.5301226993869,817.6659788064701,1045.3542213570615,603.9912850729528,1568.6288782950073,909.3302998001324,1134.3195713328853,579.5457905405415,780.5298657718121,1085.9267643142477,1529.6426770060677,1028.124866141732,554.8056723338493,1276.1049179046122,898.685303388494,1525.5062422360245,993.6010197628456,748.2234968847355,1123.410815412187,530.6942133333338,1546.2260160427804,826.0090099009905,968.8554407836149,718.6917426273463,958.0393243243236,1353.2500712377548
ONEOFF_PURCHASES,592.5035724661986,590.0159819034849,349.72791708458766,839.1629388029593,304.3057238605899,630.5746958855091,928.1369330357144,506.6158881431765,592.2522085889568,454.9490462911329,616.8431590656282,288.5096689113356,1010.361407739765,518.2819387075281,691.2054989953111,267.2625337837841,428.38104026845684,661.6994340878825,987.6565205664198,617.2415748031498,249.26656105100471,803.6176935105555,508.39283687943316,974.9347903726712,601.3268142292494,394.466331775701,685.6139516129033,233.48039111111095,981.6643850267379,452.52599459946015,573.9017809439001,375.87185880250223,562.5459819819819,873.3763935886026
INSTALLMENTS_PURCHASES,411.1135791708568,408.95335790884684,332.0890404546982,492.75732347007335,320.5521715817701,416.1382960644014,523.1279776785714,384.50459060402716,389.2779141104298,363.66306748466206,428.7840044493882,315.64560044893426,558.3837016264721,391.6906595602934,443.11407233757524,312.48070270270296,352.94731543624164,424.24952063914816,542.1259002022927,410.8832913385829,305.76493817619803,472.5044253322908,391.03643026004744,550.7152717391306,392.3163636363638,354.6837616822431,437.8267293906813,297.47357333333355,564.7267290552586,373.9660666066604,394.95365983971527,343.8563002680965,395.9054324324327,479.893268032057
